Title,Type,Netflix,HBO_Max,Disney_Plus,Amazon_Prime_Video,Apple_TV_Plus,Paramount_Plus,Hulu,Peacock
1883,Series,0,0,0,0,0,1,0,0
1923,Series,0,0,0,0,0,1,0,0
3 Body Problem,Series,1,0,0,0,0,0,0,0
30 Rock,Series,0,0,0,1,0,0,1,1
65,Movie,1,0,0,1,0,0,0,0
A Beautiful Mind,Movie,0,0,0,1,0,0,0,1
A Complete Unknown,Movie,0,0,1,0,0,0,1,0
A Head Full of Ghosts,Series,0,0,0,1,0,0,0,0
A House of Dynamite,Movie,1,0,0,0,0,0,0,0
A League of Their Own,Series,0,0,0,1,0,0,0,0
A Minecraft Movie,Movie,0,1,0,1,0,0,0,0
A Quiet Place: Day One,Movie,0,0,0,0,0,1,0,0
Abigail,Movie,0,0,0,0,0,0,0,1
Agatha All Along,Series,0,0,1,0,0,0,0,0
Ahsoka,Series,0,0,1,0,0,0,0,0
Air,Movie,0,0,0,1,0,0,0,0
Alice in Borderland,Series,1,0,0,0,0,0,0,0
Alien,Movie,0,0,1,0,0,0,1,0
Alien: Romulus,Movie,0,0,1,0,0,0,0,0
Aliens,Movie,0,0,1,0,0,0,1,0
All Quiet on the Western Front,Movie,1,0,0,0,0,0,0,0
American Horror Story,Series,0,0,1,0,0,0,1,0
Anatomy of a Fall,Movie,1,0,0,0,0,0,0,0
Andor,Series,0,0,1,0,0,0,0,0
Anora,Movie,0,1,0,1,0,0,0,0
Ant-Man and the Wasp: Quantumania,Movie,0,0,1,0,0,0,0,0
Apples Never Fall,Series,0,0,0,0,0,0,0,1
Aquaman and the Lost Kingdom,Movie,0,1,0,0,0,0,0,0
Arcane,Series,1,0,0,0,0,0,0,0
Argylle,Movie,0,0,0,0,1,0,0,0
Arrested Development,Series,1,0,1,0,0,0,1,0
Atlanta,Series,0,0,1,0,0,0,1,0
Avatar,Movie,0,0,1,1,0,0,0,0
Avatar: The Way of Water,Movie,0,0,1,0,0,0,0,0
Baby Reindeer,Series,1,0,0,0,0,0,0,0
Babygirl,Movie,0,0,0,1,0,0,0,0
Babylon,Movie,0,0,0,0,0,1,0,0
Back to the Future,Movie,0,0,0,1,0,0,0,1
Back to the Future Part II,Movie,0,0,0,1,0,0,0,1
Bad Sisters,Series,0,0,0,0,1,0,0,0
Band of Brothers,Series,0,1,0,0,0,0,0,0
Barbie,Movie,0,1,0,0,0,0,0,0
Barry,Series,0,1,0,0,0,0,0,0
Based on a True Story,Series,0,0,0,0,0,0,0,1
Batman Begins,Movie,0,1,0,1,0,0,0,0
Beef,Series,1,0,0,0,0,0,0,0
Beetlejuice Beetlejuice,Movie,0,1,0,0,0,0,0,0
Being the Ricardos,Movie,0,0,0,1,0,0,0,0
Bel-Air,Series,0,0,0,0,0,0,0,1
Better Call Saul,Series,1,0,0,1,0,0,0,0
Beverly Hills Cop: Axel F,Movie,1,0,0,0,0,0,0,0
Big Shot,Series,0,0,1,0,0,0,0,0
Bird Box,Movie,1,0,0,0,0,0,0,0
Black Bag,Movie,0,0,0,1,0,0,0,0
Black Mirror,Series,1,0,0,0,0,0,0,0
Black Panther: Wakanda Forever,Movie,0,0,1,0,0,0,0,0
Blade Runner 2049,Movie,0,1,0,1,0,0,0,0
Bluey,Series,0,0,1,0,0,0,0,0
BoJack Horseman,Series,1,0,0,0,0,0,0,0
