Gene	Vogelstein	COSMIC_CGC	OncoKB	IntOGen
A1CF	0	0	1	0
AAMP	0	0	1	0
ABCB1	0	0	1	0
ABCC3	0	0	1	0
ABCC4	0	0	0	1
ABI1	0	1	1	0
ABL1	1	1	1	1
ABL2	0	1	1	1
ABRAXAS1	0	0	1	0
ACACA	0	0	1	0
ACKR3	0	1	1	1
ACP3	0	0	1	0
ACSL3	0	1	1	1
ACSL4	0	0	1	0
ACSL6	0	0	1	1
ACSM3	0	0	0	1
ACTB	0	0	1	0
ACTG1	0	0	1	0
ACVR1	0	1	1	1
ACVR1B	1	1	1	1
ACVR2A	0	1	1	1
ADAMTS9	0	0	0	1
ADAR	0	0	1	0
ADARB2	0	0	1	0
ADGRA2	0	0	1	0
ADGRG4	0	0	1	0
ADHFE1	0	0	1	0
AFDN	0	1	1	1
AFF1	0	1	1	1
AFF3	0	1	1	1
AFF4	0	1	1	1
AGGF1	0	0	1	0
AGK	0	0	1	0
AGO1	0	0	1	0
AGO2	0	0	1	0
AIM2	0	0	1	0
AIP	0	0	1	0
AJUBA	0	0	1	1
AKAP9	0	0	0	1
AKT1	1	1	1	1
AKT1S1	0	0	1	0
AKT2	0	1	1	0
AKT3	0	0	1	1
ALB	0	0	1	0
ALDH1A3	0	0	1	0
ALDH1L2	0	0	1	0
ALDH2	0	0	1	1
ALK	1	1	1	1
ALOX12B	0	0	1	0
ALOX15B	0	0	1	0
ALOX5	0	0	1	0
ALPK1	0	0	0	1
AMER1	0	1	1	1
ANK1	0	0	1	1
ANKRD11	0	0	1	1
ANKRD26	0	0	1	0
APC	1	1	1	1
APCDD1	0	0	1	0
APEX1	0	0	1	0
APH1A	0	0	1	0
APLNR	0	0	1	0
APOBEC3B	0	1	1	0
AR	1	1	1	1
ARAF	0	0	1	1
ARFRP1	0	0	1	0
ARHGAP26	0	1	1	0
ARHGAP35	0	1	1	1
ARHGAP5	0	0	0	1
ARHGEF10	0	0	0	1
ARHGEF10L	0	0	0	1
ARHGEF12	0	1	1	1
ARHGEF28	0	0	1	0
ARID1A	1	1	1	1
ARID1B	1	1	1	1
ARID2	1	1	1	1
ARID3A	0	0	1	0
ARID3B	0	0	1	0
ARID3C	0	0	1	0
ARID4A	0	0	1	0
ARID4B	0	0	1	0
ARID5A	0	0	1	0
ARID5B	0	0	1	0
ARNT	0	1	1	1
ASCL1	0	0	1	0
ASMTL	0	0	1	0
ASPSCR1	0	1	1	0
ASXL1	1	1	1	1
ASXL2	0	0	1	1
ASXL3	0	0	1	0
ATF1	0	1	1	0
ATF7IP	0	0	0	1
ATG5	0	0	1	0
ATG7	0	0	0	1
ATIC	0	1	1	0
ATM	1	1	1	1
ATMIN	0	0	1	0
ATP1A1	0	1	1	1
ATP2B3	0	1	1	1
ATP6AP1	0	0	1	0
ATP6V1B2	0	0	1	0
ATR	0	1	1	1
ATRIP	0	0	1	0
ATRX	1	1	1	1
ATXN2	0	0	1	0
ATXN7	0	0	1	0
AURKA	0	0	1	0
AURKB	0	0	1	0
AURKC	0	0	1	0
AXIN1	1	1	1	1
AXIN2	0	1	1	0
AXL	0	0	1	0
B2M	1	1	1	1
BAALC	0	0	1	0
BABAM1	0	0	1	0
BABAM2	0	0	1	0
BACH1	0	0	1	0
BACH2	0	0	1	0
BAP1	1	1	1	1
BARD1	0	1	1	1
BAX	0	1	1	0
BAZ1A	0	0	0	1
BBC3	0	0	1	0
BCL10	0	1	1	1
BCL11A	0	1	1	1
BCL11B	0	1	1	1
BCL2	1	1	1	1
BCL2L1	0	0	1	0
BCL2L11	0	0	1	0
BCL2L2	0	0	1	0
BCL3	0	1	1	0
BCL6	0	1	1	1
BCL7A	0	1	1	1
BCL9	0	1	1	1
BCL9L	0	1	1	1
BCLAF1	0	0	0	1
BCOR	1	1	1	1
BCORL1	0	1	1	1
BCR	0	1	1	1
BG_00001	0	0	0	0
BG_00002	0	0	0	0
BG_00003	0	0	0	0
BG_00004	0	0	0	0
BG_00005	0	0	0	0
BG_00006	0	0	0	0
BG_00007	0	0	0	0
BG_00008	0	0	0	0
BG_00009	0	0	0	0
BG_00010	0	0	0	0
BG_00011	0	0	0	0
BG_00012	0	0	0	0
BG_00013	0	0	0	0
BG_00014	0	0	0	0
BG_00015	0	0	0	0
BG_00016	0	0	0	0
BG_00017	0	0	0	0
BG_00018	0	0	0	0
BG_00019	0	0	0	0
BG_00020	0	0	0	0
BG_00021	0	0	0	0
